Product ID,Title,Vendor,Product Type,Price,Compare Price,SKU,Barcode,Inventory,Weight (g),Tags,Handle,Status
15167717933404,"- Detersivo bici","Muc-Off","Teile > Velopflege",9.90,,"","5037835371000",0,0.0,"bicycle, bike, imported-2025-08-07, imported-ecom, Muc-Off, Teile, traditional, Velopflege","detersivo-bici",active
15167721701724,"- Helme Sutton MIPS Matt Warm Black","Giro Cycling","Zubehör > Helme > Urban",89.30,149.00,"","768686380624",1,0.0,"Giro Cycling, Helme, helmet, imported-2025-08-07, imported-ecom, protection, safety, Zubehör","helme-sutton-mips-matt-warm-black",active
15167711936860,"-Guanto DND Adult - Nero","Giro Cycling","Zubehör > Bekleidung > Handschuhe",18.00,39.00,"","768686022463",1,0.0,"apparel, Bekleidung, clothing, gear, Giro Cycling, imported-2025-08-07, imported-ecom, Zubehör","guanto-dnd-adult-nero",active
15167705874780,"0;5l black","CUBE","Zubehör > Trinkflaschen",7.90,,"13034","4250589419366",0,51.0,"accessory, bottle, CUBE, hydration, imported-2025-08-07, imported-ecom, Trinkflaschen, Zubehör","05l-black",active
15167703646556,"0;5l trasparente","CUBE","Zubehör > Trinkflaschen",5.90,,"13033","4250589419359",0,51.0,"accessory, bottle, CUBE, hydration, imported-2025-08-07, imported-ecom, Trinkflaschen, Zubehör","05l-trasparente",active
15167753945436,"100% - Guanti brisker gialli XL","100%","Zubehör > Bekleidung > Handschuhe",20.00,,"","841269184243",1,0.0,"100%, apparel, Bekleidung, clothing, gear, imported-2025-08-07, imported-ecom, Zubehör","100-guanti-brisker-gialli-xl",active
15167714918748,"164 Halte-Schelle zu IQ X Farbe: SCHWARZ","Busch+Müller","Teile",9.90,,"313049.03","4006021012059",9,0.0,"accessory, Busch+Müller, imported-2025-08-07, imported-ecom, Teile","164-halte-schelle-zu-iq-x-farbe-schwarz",active
15167749194076,"200 hour/1 year Service Kit, Recon RL/TK A1 (2018+) - Kit manutenzione forcella","Rockshox","Teile > Dämpfer & Federgabel",22.00,,"00.4315.032.650","710845808289",2,0.0,"accessory, Dämpfer & Federgabel, imported-2025-08-07, imported-ecom, Rockshox, Teile","200-hour1-year-service-kit-recon-rltk-a1-2018-kit-manutenzione-forcella",active
15167748997468,"3 x Brush Set","Muc-Off","Zubehör > Tools",29.90,34.90,"","5037835220001",0,0.0,"imported-2025-08-07, imported-ecom, maintenance, Muc-Off, repair, tool, Tools, Zubehör","3-x-brush-set",active
15167723209052,"40 komplettes Headset ZS44/28.6 ZS56/30","CANE CREEK","Teile > Lenker",69.90,79.90,"","840226077413",0,0.0,"accessory, CANE CREEK, imported-2025-08-07, imported-ecom, Lenker, Teile","40-komplettes-headset-zs44286-zs5630",active
15167766626652,"46er Sideloader Set","Benno","Zubehör > Kindersitz",175.00,219.90,"A2003","810076250205",0,0.0,"accessory, baby-seat, Benno, child-seat, family, imported-2025-08-07, imported-ecom, Kindersitz, Zubehör","46er-sideloader-set",active
15167761318236,"606 EBIKE 6-48 VOLT","AXA","Zubehör > Lichte",21.99,,"LAA078","8713249282909",2,0.0,"AXA, imported-2025-08-07, imported-ecom, lamp, Lichte, light, safety, visibility, Zubehör","606-ebike-6-48-volt",active
15167752438108,"A-Head stem ST-M15 XLC Comp A-head stem ST-M15, black, 35°, 1 1/8"", Ø 25.4mm, 60mm","GODSPEED ebike","Teile > Lenker",26.01,,"2501535900","4032191794563",0,0.0,"accessory, godspeed-ebike, imported-2025-08-07, imported-ecom, Lenker, Teile","a-head-stem-st-m15-xlc-comp-a-head-stem-st-m15-black-35-1-18-254mm-60mm",active
