Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cube-nulane-hybrid-c62-race-400x-sagebrushgreennprism-m,Cube Nulane Hybrid C:62 Race 400X sagebrushgreen'n'prism M,"",CUBE,,E-Bikes > Gravel,"adventure, CUBE, e-bike, E-Bikes, electric, Gravel, imported-2025-08-07, imported-ecom",true,Title,Default Title,,,,,,,,'817510,0.0,shopify,deny,manual,2849.00,2999.00,true,true,'4054571484505,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/817500-f1-00.png?v=1754585367,1,Cube Nulane Hybrid C:62 Race 400X sagebrushgreen'n'prism M,false,Cube Nulane Hybrid C:62 Race FE 400X sagebrushgreen'n'prism M,,,,,,new,FALSE,CUBE,,,,,,,,,,g,,1732.46,active
rack-pad-half-size,Rack Pad (Half Size),"",Benno,,Zubehör > Kindersitz,"accessory, baby-seat, Benno, child-seat, family, imported-2025-08-07, imported-ecom, Kindersitz, Zubehör",true,Title,Default Title,,,,,,,,A8012,0.0,shopify,deny,manual,89.90,,true,true,'810076250458,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/screenshot-2023-03-16-at-121110.png?v=1754585365,1,Rack Pad (Half Size),false,Rack Pad (Half Size),,,,,,new,FALSE,Benno,,,,,,,,,,g,,54.84,active
acid-bike-chain-oil-pro-50ml,ACID Bike Chain Oil Pro 50ml,"",ACID,,Zubehör > Werkstatt / Werkzeuge,"ACID, imported-2025-08-07, imported-ecom, maintenance, repair, tool, Werkstatt / Werkzeuge, workshop, Zubehör",true,Title,Default Title,,,,,,,,'93422,0.0,shopify,deny,manual,6.90,,true,true,'4054571163950,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/93458-f1-00.png?v=1754585365,1,ACID Bike Chain Oil Pro 50ml,false,ACID Bike Chain Oil Pro 50ml,,,,,,new,FALSE,ACID,,,,,,,,,,g,,2.49,active
acid-bike-frame-protection-300ml,ACID Bike Frame Protection 300ml,"",ACID,,Zubehör > Werkstatt / Werkzeuge,"ACID, imported-2025-08-07, imported-ecom, maintenance, repair, tool, Werkstatt / Werkzeuge, workshop, Zubehör",true,Title,Default Title,,,,,,,,'93427,0.0,shopify,deny,manual,14.90,,true,true,'4054571164025,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/93427-0.png?v=1754585364,1,ACID Bike Frame Protection 300ml,false,ACID Bike Frame Protection 300ml,,,,,,new,FALSE,ACID,,,,,,,,,,g,,5.39,active
acid-bike-chain-spray-300ml,ACID Bike Chain Spray 300ml,"",ACID,,Zubehör > Werkstatt / Werkzeuge,"ACID, imported-2025-08-07, imported-ecom, maintenance, repair, tool, Werkstatt / Werkzeuge, workshop, Zubehör",true,Title,Default Title,,,,,,,,'93421,0.0,shopify,deny,manual,14.90,,true,true,'4054571163943,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/93421-0.png?v=1754585363,1,ACID Bike Chain Spray 300ml,false,ACID Bike Chain Spray 300ml,,,,,,new,FALSE,ACID,,,,,,,,,,g,,4.65,active
seatpost-sp9-clamp-assembly-st1st2,Seatpost SP9 Clamp Assembly ST1/ST2,"",STROMER,,Teile > Sattelstütze,"accessory, imported-2025-08-07, imported-ecom, Sattelstütze, STROMER, swiss, swiss-made, Teile",true,Title,Default Title,,,,,,,,'402378,0.0,shopify,deny,manual,7.00,,true,true,,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/screenshot-2025-08-02-at-164259.png?v=1754585361,1,Seatpost SP9 Clamp Assembly ST1/ST2,false,Seatpost SP9 Clamp Assembly ST1/ST2,,,,,402378,new,FALSE,STROMER,,,,,,,,,,g,,4.20,active
elite-werkzeugbidon-byasi-400-cm3-dunkelgrau,Elite Werkzeugbidon Byasi 400 cm3 dunkelgrau,"",ELITE,,Zubehör > Trinkflaschen,"accessory, bottle, ELITE, hydration, imported-2025-08-07, imported-ecom, Trinkflaschen, Zubehör",true,Title,Default Title,,,,,,,,17.83220,0.0,shopify,deny,manual,8.90,,true,true,'8020775040775,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/17-83220.jpg?v=1754585361,1,Elite Werkzeugbidon Byasi 400 cm3 dunkelgrau,false,Copy of Contenitore porta oggetti Elite Byasi 600 cm3 grigio scuro,,,,,,new,FALSE,ELITE,,,,,,,,,,g,,4.90,active
elite-bidonhalter-vico-carbon-matt-schwarz,Elite Bidonhalter Vico Carbon matt schwarz,"",ELITE,,Zubehör > Trinkflaschen,"accessory, bottle, carbon-frame, ELITE, hydration, imported-2025-08-07, imported-ecom, lightweight, Trinkflaschen, Zubehör",true,Title,Default Title,,,,,,,,17.77522,0.0,shopify,deny,manual,35.90,,true,true,'8020775035535,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/17-77522.jpg?v=1754585360,1,Elite Bidonhalter Vico Carbon matt schwarz,false,Portaborraccia Elite Vico Carbon mat nero,,,,,,new,FALSE,ELITE,,,,,,,,,,g,,19.50,active
elite-bidonhalter-custom-race-x-skin-schwarz,Elite Bidonhalter Custom Race X skin schwarz,"",ELITE,,Zubehör > Trinkflaschen,"accessory, bottle, ELITE, hydration, imported-2025-08-07, imported-ecom, Trinkflaschen, Zubehör",true,Title,Default Title,,,,,,,,17.91089,0.0,shopify,deny,manual,17.90,,true,true,'8020775045114,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/17-91089-fr.jpg?v=1754585359,1,Elite Bidonhalter Custom Race X skin schwarz,false,Portaborraccia Custom Race X skin Nero,,,,,,new,FALSE,ELITE,,,,,,,,,,g,,9.90,active
sks-bidonhalter-slidecage-kunststoff-schwarz,SKS Bidonhalter Slidecage Kunststoff schwarz,"",SKS,,Zubehör > Trinkflaschen,"accessory, bottle, hydration, imported-2025-08-07, imported-ecom, SKS, Trinkflaschen, Zubehör",true,Title,Default Title,,,,,,,,17.91168,0.0,shopify,deny,manual,13.90,,true,true,'4002556105990,https://cdn.shopify.com/s/files/1/0891/2257/0588/files/17-91168-fr1.jpg?v=1754585358,1,SKS Bidonhalter Slidecage Kunststoff schwarz,false,Portaborraccia sks Slidecage nero,,,,,,new,FALSE,SKS,,,,,,,,,,g,,7.70,active
